age,income,transactions,credit_limit,avg_spent,payment_delay,churn
66,54775,95,3565,4494,28,1
66,78144,62,11789,502,18,0
69,68570,2,6024,1617,0,1
29,66097,66,2031,9774,15,1
56,44503,42,2241,7383,17,0
19,22779,34,2742,2017,7,1
20,106840,42,6709,5346,9,1
66,20755,20,15739,4079,21,0
54,59263,97,12830,2879,10,0
66,128491,68,14778,9704,16,0
34,75087,45,9160,4764,26,1
66,62281,75,13375,3323,24,1
19,71482,42,5403,1348,6,0
19,74857,47,5897,5536,25,1
45,142989,5,1163,705,26,0
40,37400,89,4310,1020,2,1
54,60115,49,18379,4076,28,1
49,34249,37,15991,5613,6,1
50,133183,34,19261,6758,5,1
18,66825,73,18732,7307,2,1
36,130361,70,3251,2634,7,0
19,44600,18,12092,5338,0,0
61,57706,78,7590,2975,4,1
43,39222,19,8658,6317,23,0
49,119041,78,17816,5045,18,0
23,124504,40,6247,8293,26,1
49,61139,17,8715,1285,12,1
21,134919,60,4817,8643,25,1
28,136605,99,18454,8208,10,0
34,61302,93,5600,4597,27,0
55,114684,42,10982,5697,21,0
41,107838,81,1994,2657,25,1
22,88159,72,5731,9370,10,1
69,28646,65,8670,4028,1,1
51,33543,53,18341,4059,8,1
23,114496,7,9287,8634,1,1
39,148212,5,19538,9062,20,0
28,42785,24,18015,3437,18,0
65,98353,28,12876,8672,25,0
33,51406,62,18081,8638,11,1
50,108992,17,17415,5641,8,1
26,71428,20,16852,1221,8,0
23,43777,3,14490,1423,22,0
33,77939,37,6562,5891,9,1
46,73026,90,9740,8157,4,0
20,106450,15,3248,1335,8,1
37,49553,51,7192,2993,22,0
53,43548,48,10895,3479,17,0
36,83221,8,7406,2924,9,0
43,57265,13,2156,5021,16,0
20,145549,48,15318,2876,25,1
36,60701,3,9535,953,9,1
37,71287,65,6295,3959,13,1
49,26727,73,13264,4047,3,0
24,130460,31,7154,1648,9,1
69,70717,26,19632,1022,23,0
58,52427,81,10136,5077,21,1
50,36692,56,14213,621,29,0
57,51625,34,13072,4118,17,1
56,44918,9,11242,7130,4,1
35,126931,62,4285,4222,8,0
57,61136,13,10522,3583,5,1
18,134826,69,3003,6430,15,0
28,134881,41,10979,7223,21,0
45,72409,77,11438,5313,22,0
42,35577,1,15227,3807,15,1
67,105155,89,4672,4142,28,1
40,131776,47,8458,3317,10,1
48,119246,4,19539,7921,20,1
47,122924,63,4479,7547,14,1
59,146759,52,15887,8968,18,0
52,140408,10,1051,6088,2,1
24,101731,28,3159,7887,15,1
33,47689,6,5390,9940,20,1
43,31154,27,17080,9816,19,0
65,124657,12,3112,3902,4,0
69,114948,62,13752,4832,29,0
66,41341,52,15593,9443,8,0
19,117554,48,16339,664,4,1
18,94681,67,2354,7489,3,0
65,127798,46,6620,2456,12,1
29,66330,97,4754,4360,19,1
22,138069,74,17593,3275,16,1
54,107759,95,17167,2268,25,0
49,88416,15,1237,6726,19,1
26,145067,71,9527,7121,11,0
58,106807,36,9075,1282,29,0
52,53313,14,18960,8320,19,0
36,66900,78,9691,9646,24,0
65,98840,3,10756,640,26,0
33,54695,67,4540,1219,19,0
20,50225,86,10327,2150,6,0
37,106072,19,11540,8385,0,1
41,116367,99,8257,4073,29,0
50,69156,76,17533,1515,15,1
41,97209,54,12720,4883,6,0
69,107453,69,2624,9034,29,1
28,47829,10,8661,6792,1,1
66,100908,33,19958,6853,11,1
25,45938,13,8529,9667,10,1
53,79164,99,14654,3620,7,0
55,74530,51,3108,2323,0,1
57,140921,32,4947,4926,25,0
37,88199,75,8899,510,2,0
52,80282,24,14372,5104,7,0
65,67801,35,5914,9805,25,1
42,29465,83,7667,9313,7,0
52,23326,70,3263,1400,10,1
42,23659,40,4815,4247,28,0
46,80289,54,1577,1971,20,1
35,47594,44,16029,7361,4,0
63,135819,62,17806,3603,7,1
35,24763,99,3763,9018,25,1
19,108657,68,18613,573,20,0
52,30828,33,16645,750,8,0
33,67588,77,9945,2997,16,1
58,31221,56,18071,5128,4,1
53,31211,36,18106,8987,18,1
50,33569,54,14854,797,18,1
21,116894,19,18130,8993,1,1
50,57860,43,3712,9276,18,1
31,91558,12,18091,7017,22,0
38,65337,11,16857,2134,14,0
65,72311,70,9626,5505,7,1
37,33515,12,14068,6529,27,0
25,91695,91,17867,8744,23,1
24,142006,41,15719,6115,26,0
20,131527,25,2533,3344,7,1
34,126749,3,17553,6123,0,1
50,107227,3,18404,5090,13,0
65,44904,84,8093,5448,10,0
29,79935,28,14156,5690,6,0
68,63790,23,18231,8384,17,1
39,88580,48,14785,6832,26,0
39,95148,67,16591,1162,14,1
63,25636,42,15694,8699,9,0
47,97129,88,4346,6975,3,0
55,134483,40,5013,3587,20,0
55,22892,6,1031,5261,27,1
62,41672,20,12156,1168,0,1
68,25812,11,11304,9977,13,0
25,116621,96,8877,4120,19,1
44,148177,27,7170,660,19,1
44,20654,21,13078,6960,24,0
51,74633,13,3315,517,8,0
38,37143,86,1065,3033,12,0
47,75934,35,13420,7010,28,0
50,87334,47,19312,4946,26,1
45,123463,86,8533,6054,25,0
64,145851,28,15204,3418,16,1
50,49087,21,16317,9745,23,0
22,31618,18,16457,815,19,0
65,28446,31,17968,5332,3,0
36,107182,60,6244,2711,4,0
21,122127,37,9154,7569,17,0
52,68867,21,19132,9011,16,0
66,71028,14,19588,5633,20,1
34,80101,89,12822,6922,6,1
61,47200,91,2892,5027,9,1
45,115107,60,8018,3215,8,1
47,108074,23,11621,9325,27,1
46,126091,95,1973,7165,27,1
63,81465,29,11834,7607,12,1
23,129500,47,7615,5632,17,0
52,106436,30,5329,9364,11,1
58,138422,90,2477,9162,7,0
54,144124,84,8329,7282,22,1
41,107892,38,7444,3107,17,1
46,108559,83,17385,3832,4,0
66,140044,27,12406,5197,6,0
63,59148,89,7843,7245,14,0
48,102928,87,6972,6134,2,0
52,40698,93,16295,6760,17,0
50,62470,15,6105,1685,5,1
69,112071,59,11931,7495,25,0
38,71660,3,8702,6609,28,0
49,73910,10,15136,6941,5,0
40,55450,79,3599,1415,26,1
50,76463,80,3235,7964,19,0
20,53757,17,6473,2117,0,0
35,98012,83,1018,2925,20,0
42,126750,11,1858,925,16,1
59,147043,48,6380,2287,10,0
48,90247,5,4032,3084,29,1
20,92015,69,19915,5148,26,1
57,51390,64,8471,668,23,0
63,76116,14,5719,1014,1,1
41,33161,50,13943,3935,24,1
67,52152,26,5863,5025,8,1
49,100171,72,5038,3116,18,1
64,126379,69,19836,9382,5,1
39,115833,7,3846,3704,24,1
40,40836,16,9064,8265,6,0
19,110367,55,12394,9044,3,1
44,86543,78,7622,1617,2,1
59,75648,56,13295,1905,1,0
19,46331,4,12782,5914,9,1
43,125992,48,2159,6841,9,0
34,30763,17,5626,4674,16,0
57,89444,36,4722,1177,26,1
50,113109,70,12630,9242,15,1
26,39187,80,12274,9511,25,1
60,31957,93,15888,713,26,0
65,24379,38,7589,2166,0,1
56,47959,62,16473,9585,11,0
46,102018,48,3243,4754,19,1
59,143076,10,9177,3286,19,1
43,47105,36,2760,8713,24,1
52,20877,29,17202,6360,9,0
67,68353,78,6442,1761,0,0
42,103788,4,15965,1672,15,1
41,116870,44,4236,5380,10,0
30,104585,56,16611,2554,3,1
24,103308,42,9235,3315,2,0
53,71567,13,16829,5174,24,0
62,77913,46,9680,5696,12,1
37,22637,82,12340,5084,20,1
18,92778,33,10148,5521,14,0
25,62025,21,11306,6730,24,0
63,126917,80,18499,3131,9,0
33,121187,79,19165,6845,5,1
31,119508,57,12018,8596,10,1
29,102464,69,19260,6800,24,0
68,48742,70,12142,7848,0,1
40,31831,67,10546,6344,28,0
32,133768,48,4276,2676,19,1
45,135911,76,17832,5862,3,1
51,105092,33,17008,8597,29,0
19,110879,36,5172,6099,25,1
49,108370,33,14183,9568,9,0
40,146537,31,13836,4758,21,1
39,66762,21,9989,9646,25,0
68,124824,27,14740,4619,14,1
42,118958,91,14102,7140,28,1
39,108741,72,16357,4788,0,1
39,38830,62,19566,1377,25,0
66,75044,96,16613,4985,20,0
69,93948,26,4326,3044,14,1
59,89202,66,1719,5559,2,1
23,57045,12,18906,7664,0,0
32,106322,22,2069,3100,5,0
60,137257,17,8749,4028,18,1
54,91051,7,13935,2908,3,1
50,127509,68,5887,5360,11,0
25,46627,37,12267,4448,24,0
61,35198,38,19540,9930,1,0
61,89521,96,8944,2834,16,1
22,131439,11,16934,1267,25,1
56,126471,1,13747,5383,5,0
21,49475,25,11505,4706,11,0
23,125752,42,14449,6448,14,1
62,138998,52,12697,7585,16,1
49,39403,24,5139,1244,0,1
69,23681,53,16221,4674,13,1
47,111555,56,8087,7698,22,0
64,138884,63,1632,3056,1,1
52,113122,81,3199,5566,3,1
57,135260,8,15548,8297,19,1
69,62292,59,12255,4661,1,0
33,123057,45,18006,786,21,0
30,125386,27,7073,3747,25,0
67,122306,52,17744,5599,13,1
59,25629,18,11559,503,17,1
47,113246,91,17097,6435,27,1
36,115864,86,9401,911,7,1
34,97814,16,12659,4845,19,0
36,28417,66,10122,4227,0,1
45,138888,5,14894,1856,15,0
43,54765,82,1877,8849,6,1
54,94499,3,14775,2100,5,1
43,134088,91,11691,7657,27,1
40,76574,81,17110,6206,29,1
26,122828,80,3523,6059,21,1
29,110545,70,13543,7696,26,1
18,148206,7,7270,5573,18,0
18,47675,50,6088,2882,9,0
64,145609,14,8564,652,22,0
51,121711,38,8066,3296,5,0
49,92267,79,7545,7782,25,0
65,60563,47,3321,7451,9,1
42,31332,33,14132,3305,24,1
57,143745,43,9330,4580,18,0
62,39177,91,9294,9747,2,1
18,109254,29,14553,6350,19,1
33,88447,57,6333,7862,2,1
56,77104,5,8858,1828,19,1
22,104335,93,6389,2892,5,0
39,134938,96,19232,3653,16,1
46,100730,60,4205,8692,17,0
20,24951,70,3161,666,9,0
29,126402,2,18848,3754,5,1
43,48333,70,1643,5560,27,1
33,41673,43,15986,2385,12,1
68,134421,4,12628,4868,5,0
54,60870,56,6351,8029,11,1
39,141945,93,5553,1399,13,0
46,147536,59,7518,2748,16,1
31,91101,89,6723,3912,21,0
45,42821,9,8946,6949,29,0
22,45494,3,1610,9911,26,0
64,119477,90,5302,3632,27,0
66,146083,48,2543,8655,24,0
47,94160,43,2466,8636,7,0
63,132698,91,10108,859,25,0
69,131560,96,15656,6950,4,1
22,20835,1,7236,8147,28,0
29,145126,57,14719,9025,3,1
33,38646,53,18565,1230,5,1
43,143777,16,19530,7567,10,1
43,97360,51,19656,1917,29,0
65,57335,75,10043,8267,27,0
38,89351,90,5536,8388,4,1
56,134934,55,18103,4263,28,0
53,22429,1,11206,7428,21,0
50,61950,90,4642,6196,13,1
47,80654,28,13062,1378,29,1
54,127422,53,17447,5982,9,1
40,129934,58,14055,3384,10,1
27,139975,73,1559,2797,2,1
22,88143,60,2733,9352,22,1
53,111186,59,9861,7871,7,1
51,124234,22,2542,4485,20,0
69,117889,8,10463,1769,4,0
48,122326,49,3415,1794,27,0
27,97527,42,11983,1509,19,1
36,106704,27,13905,2257,25,0
49,51099,39,6387,8276,20,1
18,59385,83,9187,9883,27,1
22,55919,25,7643,7078,9,1
62,116952,38,16667,8680,26,0
21,80782,85,12246,9745,7,1
33,91116,24,3458,3341,20,1
41,92590,24,7028,6216,8,1
33,109626,60,6447,2904,28,0
19,60387,83,2948,4062,27,0
66,35823,50,7306,1771,28,1
45,66015,66,9251,8944,14,1
49,122877,14,9092,3268,0,1
44,35339,53,13363,8301,22,0
37,149949,32,15066,9428,4,1
41,23491,96,17129,6642,14,1
29,20706,92,16776,2428,3,0
67,117493,48,1189,6766,18,0
52,35728,39,12752,5913,27,0
50,26997,40,8482,7328,9,0
50,123537,42,17679,2690,22,0
68,80408,77,1799,1502,27,0
60,78097,76,10934,7154,1,1
54,149526,8,9788,8594,4,0
29,58523,79,10909,6567,17,0
20,141648,26,13415,4252,22,1
18,45163,12,11790,6700,5,1
50,37718,43,14846,4637,28,1
57,107508,51,5714,4202,9,0
27,103767,91,12408,6443,14,0
60,59619,82,3839,4938,22,0
61,32126,63,4513,4927,27,0
46,109131,49,14601,6056,8,0
30,84926,27,2135,9032,12,1
29,60633,9,12913,2888,17,1
48,97654,39,11101,7492,24,0
63,23317,65,19631,6825,6,0
19,64980,71,7548,2200,1,1
68,64115,90,5516,5883,15,0
67,81646,71,5102,1733,25,1
52,63158,7,17217,2798,1,1
40,75963,72,18932,8829,3,1
34,67631,80,5511,3430,1,1
43,69316,67,15024,2333,16,1
25,125364,10,12413,2639,5,1
46,79342,71,17319,8899,9,1
43,35504,85,13715,6936,13,1
27,88593,53,8975,2708,26,0
43,46660,95,13621,8053,14,1
51,57196,87,11511,6122,20,1
68,85938,57,11558,9542,11,1
58,28605,91,1526,6786,18,1
24,77388,86,2753,8436,10,1
21,101297,27,15656,4190,0,0
67,75501,54,11220,3109,24,1
62,73309,4,19038,6678,7,0
28,47043,88,13741,723,21,1
46,53635,23,5841,4274,5,1
53,99315,48,5041,8416,11,0
42,100691,83,9965,9014,19,0
38,126514,42,15418,6473,15,1
53,53132,3,5417,2586,28,1
27,109387,91,9977,7396,17,0
54,35366,3,15587,7983,11,0
26,113944,28,1448,8163,19,1
41,92107,63,5585,7784,29,0
52,82580,81,13751,5961,1,0
66,135267,31,9108,2787,28,0
52,142362,10,16534,9378,6,0
65,77889,49,12443,5335,8,0
53,99553,86,1294,9688,28,1
35,59236,94,2238,3034,17,1
66,24150,21,16321,6030,8,1
56,131369,53,17074,1122,24,1
49,39423,87,14049,1575,7,1
41,24137,76,3816,7376,0,1
40,49992,89,2098,8995,4,0
49,130540,54,15679,9355,15,0
54,114438,57,2737,5737,13,0
29,135140,20,19573,4494,25,1
66,64921,49,3765,3194,12,0
30,141225,7,18606,4804,28,0
40,99369,29,15230,3698,10,0
42,86917,48,12434,5912,19,0
52,93690,93,13091,9210,22,0
58,54235,13,1410,7889,12,1
47,98975,3,5786,4933,26,1
34,39122,2,10069,6409,14,0
66,43956,16,18170,8517,29,0
37,83879,94,19493,4310,23,1
65,78560,6,6835,1412,29,1
42,141435,45,2986,7942,25,0
39,102800,71,9126,5402,26,0
30,130310,5,10070,3688,15,1
36,88685,56,8300,3728,12,1
66,44660,71,16548,1071,7,0
53,148029,98,3403,8268,17,0
29,126196,32,9262,5635,18,1
58,106064,49,11502,8789,28,0
36,134440,13,7701,4533,25,1
29,21168,30,4295,2139,14,0
26,65124,25,16687,6943,9,0
24,55897,85,13875,5342,22,1
45,35032,60,3121,6041,3,0
31,72797,59,4582,4527,5,0
48,55294,85,15477,760,7,1
69,63827,28,10821,9627,23,1
36,23516,58,6700,2297,6,1
64,39751,20,8232,831,28,0
33,50373,34,5288,4710,11,1
22,142026,5,2085,8959,17,1
52,50270,82,16891,2559,17,1
29,30386,60,16600,572,18,1
42,121859,43,9645,5611,3,0
69,84817,57,9810,3421,0,1
38,85184,57,9828,4388,4,0
53,134316,75,19732,677,29,0
40,99693,54,5874,2499,6,1
33,57879,81,14767,9463,27,1
56,125056,45,11913,9637,25,1
62,69597,86,17215,7926,10,0
59,59132,37,19733,4995,20,1
56,23626,84,15332,769,29,1
31,105936,48,5432,2155,22,1
48,122179,54,8265,3033,20,0
22,123801,48,7103,5482,10,1
52,101515,6,12012,4861,9,0
40,97065,34,16900,6618,23,0
46,75390,63,3031,9196,6,0
60,36645,78,18633,2904,15,1
28,111960,48,9519,2701,29,1
35,74144,23,9988,6519,0,0
64,33382,84,6299,6159,26,1
29,24025,13,13952,1653,0,0
26,63226,47,4094,4661,11,1
27,99380,44,3977,1836,15,1
61,142971,32,18346,9098,4,1
34,138910,26,6725,3978,13,0
55,89711,53,2268,776,17,1
24,116055,14,17161,7258,8,0
63,146189,52,17756,3980,1,1
30,94710,36,8617,2861,11,1
57,23443,8,16032,5868,24,1
59,41395,40,13934,9152,9,1
26,30725,86,12885,2946,1,0
67,53461,22,10796,8101,14,0
44,147000,16,7279,5551,3,1
19,61115,91,1095,4017,18,0
22,130084,60,16478,5302,21,0
46,116887,60,8021,2875,3,0
54,103732,10,16185,8350,24,1
55,132145,25,6868,7244,8,1
36,99790,31,14071,6889,12,1
25,99557,21,9041,6748,9,1
65,131672,91,17515,1471,13,0
62,91260,81,12307,7636,24,0
18,48690,33,8290,8844,2,1
39,21407,31,16495,4460,2,1
69,93568,90,7516,3586,19,1
34,78560,21,10341,9421,15,0
24,67340,36,12702,4467,8,1
42,37794,65,1807,5451,13,1
62,39881,4,14031,4502,21,1
21,106292,68,17434,2832,15,0
53,125698,90,12400,4875,8,1
23,114952,4,17439,1185,23,0
48,69703,9,4664,4388,22,1
36,64354,30,1743,1468,28,1
61,111288,45,7030,7820,4,1
56,98462,4,15661,2533,12,0
44,139020,69,15975,7575,14,1
27,119301,23,1079,5761,24,0
43,138764,16,15809,9459,3,1
36,34390,22,13132,1145,13,0
56,124403,72,3966,4621,19,1
20,107475,48,16534,8612,23,1
62,47307,62,4728,9771,19,0
30,116364,97,5536,6936,6,0
67,114049,60,17509,9328,3,1
45,138740,80,6813,7597,26,1
37,139991,5,1947,8792,16,1
45,44502,80,13565,6086,25,0
25,115599,7,16844,1368,8,1
58,42486,51,1594,6414,3,0
56,131813,65,17524,8713,2,0
18,58258,9,15017,6855,18,0
20,77716,82,5205,2403,8,1
30,117228,45,8782,3076,7,1
45,123920,47,3660,4609,25,1
66,101494,67,17013,5114,6,1
42,120552,24,7856,8514,6,0
50,102768,92,7089,3793,3,1
55,30748,10,6318,2435,18,0
23,82785,73,16405,1115,11,0
61,96050,77,19936,5557,19,0
62,42738,48,9062,8978,5,1
49,94231,35,18424,2423,11,1
62,93606,54,9506,6955,28,1
64,113301,87,12651,8104,29,0
38,61662,81,16730,8652,19,0
33,138313,71,4236,3273,3,1
38,116297,16,4680,5693,1,0
28,102234,53,16383,9684,14,0
54,35123,40,12298,2403,29,0
53,120680,20,18921,9567,22,1
52,45616,88,4872,643,5,1
36,122682,69,2867,7996,17,1
37,31182,45,16820,2756,20,0
35,110369,6,18545,9814,21,1
64,118878,92,4920,1199,4,1
58,82013,69,6693,6818,3,0
66,51331,49,11948,770,10,0
31,66098,39,9456,8754,10,1
32,46128,2,7331,1507,8,1
48,51556,39,14107,7703,2,1
18,147398,21,10494,4224,10,0
20,107505,40,14853,7099,1,1
33,41876,82,10386,9984,8,0
40,28949,54,18910,6987,23,1
28,71962,12,9131,8417,24,1
29,110054,81,12796,5009,9,0
27,143984,37,2158,5900,10,1
49,91206,38,18528,4820,2,0
33,44099,15,1068,9869,16,1
25,124871,7,4717,5972,10,1
55,32716,78,16218,7706,16,1
29,72611,50,12200,7372,18,1
41,58885,65,16855,8423,3,1
45,73144,67,10361,5216,1,0
25,85220,44,16692,7618,23,1
45,27837,31,12526,3120,13,1
53,69355,43,11207,3036,28,0
43,67299,77,10231,5603,14,1
25,39159,48,16063,7580,27,0
67,145212,82,5723,5817,2,1
45,136680,81,5213,1695,28,1
45,136931,81,4466,9199,29,0
54,126802,61,13449,904,19,0
58,136375,75,3747,1794,21,1
53,122413,84,13454,6554,25,0
44,71012,10,13587,4125,12,1
34,79305,29,17383,8368,21,0
26,107096,48,3203,3319,12,0
50,37106,98,14635,5259,17,0
37,78123,81,2144,6245,21,0
30,131825,62,13213,8064,19,0
45,28720,13,17944,4137,20,1
65,57661,44,2187,2373,6,1
46,135031,47,4133,1906,22,0
30,113898,64,4411,6014,15,1
63,113794,91,2689,2077,15,0
52,107318,53,5407,8272,21,1
23,126704,90,3423,5879,25,0
35,41120,92,18753,5811,5,0
68,39790,77,7728,9328,5,1
22,78655,76,1976,6047,3,0
64,79643,44,13801,1307,2,1
42,113448,28,11548,2895,0,0
19,67374,2,1118,5024,2,0
27,62907,57,2542,1915,18,0
47,70071,57,1972,8008,8,1
67,140507,34,1915,2949,13,0
62,54812,87,7621,3996,18,1
22,69570,58,17970,7603,23,1
50,70901,52,15530,5232,23,1
18,80186,29,8354,7522,18,1
35,142066,35,14761,7995,25,0
49,148364,75,5591,9206,25,0
64,70251,48,19946,5599,27,0
66,85171,33,9464,7832,12,0
28,56160,75,13550,3794,21,1
38,39156,73,15351,3408,15,1
43,96208,78,5290,5916,27,1
42,99980,9,7446,9032,7,0
39,92320,48,14432,6170,23,1
44,37929,67,2522,2968,25,1
66,86606,93,1561,2928,15,0
30,108442,83,4540,4188,25,0
50,120154,36,13328,6648,8,0
51,82559,96,2479,2527,8,0
58,74205,71,7677,7671,23,0
